image_id,object_id,detector_conf,species,species_ru,species_conf,top_species,top_species_ru,top_species_conf,stage,stage_ru,stage_conf,spray_action,review_required,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,drone_lat,drone_lon,drone_abs_alt,drone_rel_alt,timestamp,crop_path
DJI_20260609122641_0177_D.JPG,4,0.7663,unknown,Не определено,0.5178,field_bindweed,Вьюнок полевой,0.5178,unknown,Не определено,0.8521,manual_review,True,2816,1325,3654,2239,838,914,52.92379666666667,63.36168833333333,319.296,2.2,2026-06-09 07:26:41 +0000,crops/DJI_20260609122641_0177_D/crop_0003_0.77.jpg
DJI_20260609122641_0177_D.JPG,6,0.7573,field_bindweed,Вьюнок полевой,1.0000,field_bindweed,Вьюнок полевой,1.0000,unknown,Не определено,0.8907,spray_weed,False,2048,711,2318,1263,270,552,52.92379666666667,63.36168833333333,319.296,2.2,2026-06-09 07:26:41 +0000,crops/DJI_20260609122641_0177_D/crop_0005_0.76.jpg
DJI_20260609122641_0177_D.JPG,7,0.7485,unknown,Не определено,0.5565,crop_wheat,Пшеница (Культура / Фон),0.5565,unknown,Не определено,0.8796,manual_review,True,2519,1352,3328,2275,809,923,52.92379666666667,63.36168833333333,319.296,2.2,2026-06-09 07:26:41 +0000,crops/DJI_20260609122641_0177_D/crop_0006_0.75.jpg
DJI_20260609122641_0177_D.JPG,8,0.7456,unknown,Не определено,0.6426,crop_wheat,Пшеница (Культура / Фон),0.6426,unknown,Не определено,0.879,manual_review,True,704,160,770,225,66,65,52.92379666666667,63.36168833333333,319.296,2.2,2026-06-09 07:26:41 +0000,crops/DJI_20260609122641_0177_D/crop_0007_0.75.jpg
DJI_20260609122641_0177_D.JPG,9,0.7403,unknown,Не определено,0.6075,crop_wheat,Пшеница (Культура / Фон),0.6075,unknown,Не определено,0.5324,manual_review,True,2422,1024,2628,1277,206,253,52.92379666666667,63.36168833333333,319.296,2.2,2026-06-09 07:26:41 +0000,crops/DJI_20260609122641_0177_D/crop_0008_0.74.jpg
DJI_20260609122641_0177_D.JPG,10,0.728,unknown,Не определено,0.5127,crop_wheat,Пшеница (Культура / Фон),0.5127,unknown,Не определено,0.9258,manual_review,True,2048,1288,2873,2210,825,922,52.92379666666667,63.36168833333333,319.296,2.2,2026-06-09 07:26:41 +0000,crops/DJI_20260609122641_0177_D/crop_0009_0.73.jpg
DJI_20260609122641_0177_D.JPG,11,0.7203,unknown,Не определено,0.4893,crop_wheat,Пшеница (Культура / Фон),0.4893,unknown,Не определено,0.9253,manual_review,True,2722,0,3325,830,603,830,52.92379666666667,63.36168833333333,319.296,2.2,2026-06-09 07:26:41 +0000,crops/DJI_20260609122641_0177_D/crop_0010_0.72.jpg
DJI_20260609122641_0177_D.JPG,13,0.7104,unknown,Не определено,0.609,field_bindweed,Вьюнок полевой,0.609,unknown,Не определено,0.796,manual_review,True,1044,1792,1279,2491,235,699,52.92379666666667,63.36168833333333,319.296,2.2,2026-06-09 07:26:41 +0000,crops/DJI_20260609122641_0177_D/crop_0012_0.71.jpg
DJI_20260609122641_0177_D.JPG,14,0.6787,unknown,Не определено,0.6365,crop_wheat,Пшеница (Культура / Фон),0.6365,unknown,Не определено,0.8839,manual_review,True,0,1538,808,2304,808,766,52.92379666666667,63.36168833333333,319.296,2.2,2026-06-09 07:26:41 +0000,crops/DJI_20260609122641_0177_D/crop_0013_0.68.jpg
DJI_20260609122641_0177_D.JPG,15,0.6688,unknown,Не определено,0.6306,crop_wheat,Пшеница (Культура / Фон),0.6306,unknown,Не определено,0.9445,manual_review,True,2048,1792,2881,2573,833,781,52.92379666666667,63.36168833333333,319.296,2.2,2026-06-09 07:26:41 +0000,crops/DJI_20260609122641_0177_D/crop_0014_0.67.jpg
DJI_20260615115515_0164_D.JPG,3,0.902,unknown,Не определено,0.6136,crop_wheat,Пшеница (Культура / Фон),0.6136,unknown,Не определено,0.8322,manual_review,True,1888,1947,1980,2186,92,239,52.944005,63.33818333333333,286.437,0.2,2026-06-15 06:55:15 +0000,crops/DJI_20260615115515_0164_D/crop_0002_0.90.jpg
DJI_20260615115515_0164_D.JPG,18,0.822,unknown,Не определено,0.5023,crop_wheat,Пшеница (Культура / Фон),0.5023,unknown,Не определено,0.7126,manual_review,True,1562,1592,1668,1638,106,46,52.944005,63.33818333333333,286.437,0.2,2026-06-15 06:55:15 +0000,crops/DJI_20260615115515_0164_D/crop_0017_0.82.jpg
DJI_20260615115515_0164_D.JPG,20,0.8216,unknown,Не определено,0.527,crop_wheat,Пшеница (Культура / Фон),0.527,unknown,Не определено,0.6351,manual_review,True,1878,1147,2084,1400,206,253,52.944005,63.33818333333333,286.437,0.2,2026-06-15 06:55:15 +0000,crops/DJI_20260615115515_0164_D/crop_0019_0.82.jpg
DJI_20260615115515_0164_D.JPG,23,0.8152,unknown,Не определено,0.537,crop_wheat,Пшеница (Культура / Фон),0.537,unknown,Не определено,0.6636,manual_review,True,1537,2708,1675,2970,138,262,52.944005,63.33818333333333,286.437,0.2,2026-06-15 06:55:15 +0000,crops/DJI_20260615115515_0164_D/crop_0022_0.82.jpg
DJI_20260615115515_0164_D.JPG,25,0.8012,unknown,Не определено,0.604,crop_wheat,Пшеница (Культура / Фон),0.604,unknown,Не определено,0.6531,manual_review,True,1762,721,1860,847,98,126,52.944005,63.33818333333333,286.437,0.2,2026-06-15 06:55:15 +0000,crops/DJI_20260615115515_0164_D/crop_0024_0.80.jpg
DJI_20260615115515_0164_D.JPG,36,0.7779,unknown,Не определено,0.4529,crop_wheat,Пшеница (Культура / Фон),0.4529,unknown,Не определено,0.8439,manual_review,True,2761,2233,2809,2371,48,138,52.944005,63.33818333333333,286.437,0.2,2026-06-15 06:55:15 +0000,crops/DJI_20260615115515_0164_D/crop_0035_0.78.jpg
DJI_20260615115515_0164_D.JPG,45,0.7555,unknown,Не определено,0.6416,crop_wheat,Пшеница (Культура / Фон),0.6416,unknown,Не определено,0.8165,manual_review,True,3649,1584,3694,1700,45,116,52.944005,63.33818333333333,286.437,0.2,2026-06-15 06:55:15 +0000,crops/DJI_20260615115515_0164_D/crop_0044_0.76.jpg
DJI_20260615115515_0164_D.JPG,49,0.7498,unknown,Не определено,0.4598,crop_wheat,Пшеница (Культура / Фон),0.4598,unknown,Не определено,0.775,manual_review,True,1882,2833,1904,2923,22,90,52.944005,63.33818333333333,286.437,0.2,2026-06-15 06:55:15 +0000,crops/DJI_20260615115515_0164_D/crop_0048_0.75.jpg
DJI_20260615115515_0164_D.JPG,62,0.7136,unknown,Не определено,0.6402,crop_wheat,Пшеница (Культура / Фон),0.6402,unknown,Не определено,0.6485,manual_review,True,2048,1563,2447,2022,399,459,52.944005,63.33818333333333,286.437,0.2,2026-06-15 06:55:15 +0000,crops/DJI_20260615115515_0164_D/crop_0061_0.71.jpg
DJI_20260615115515_0164_D.JPG,64,0.7018,unknown,Не определено,0.6445,crop_wheat,Пшеница (Культура / Фон),0.6445,unknown,Не определено,0.5784,manual_review,True,2531,390,2602,462,71,72,52.944005,63.33818333333333,286.437,0.2,2026-06-15 06:55:15 +0000,crops/DJI_20260615115515_0164_D/crop_0063_0.70.jpg
